timestamp,mode,action_type,symbol,action,price,volume_usd,leverage,margin_used,fee_usd,pnl_usd,roe_pct,confidence,balance_after
2026-08-19 04:03:37,PAPER,ACILIS,ETHUSDT,LIMIT_BUY,1911.065,695.8,21,32.99,0.0696,0.0,0.0,0.1055,94.71
2026-08-19 07:24:18,PAPER,KAPANIS,ETHUSDT,MARKET_SELL,1917.4050000000002,695.8,21,32.99,0.2783,2.31,7.0,1.0,96.74
2026-08-19 07:42:42,PAPER,ACILIS,ETHUSDT,LIMIT_BUY,1920.275,692.94,20,33.22,0.0693,0.0,0.0,0.1113,96.67
2026-08-19 11:42:42,PAPER,KAPANIS,ETHUSDT,MARKET_SELL,1922.5349999999999,692.94,20,33.22,0.2772,0.82,2.45,1.0,97.2
2026-08-19 12:51:46,PAPER,ACILIS,ETHUSDT,LIMIT_BUY,1932.855,711.95,21,33.38,0.0712,0.0,0.0,0.1113,97.13
2026-08-19 13:32:37,PAPER,KAPANIS,ETHUSDT,MARKET_SELL,1939.495,711.95,21,33.38,0.2848,2.45,7.33,1.0,99.29
2026-08-19 13:48:42,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,78.475,662.53,20,32.87,0.0663,0.0,0.0,0.1611,99.23
2026-08-19 14:52:53,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,79.205,662.53,20,32.87,0.265,6.16,18.75,1.0,105.13
2026-08-19 15:08:20,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,79.255,781.48,20,37.89,0.0781,0.0,0.0,0.1172,105.05
2026-08-19 15:16:44,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,81.42500000000001,781.48,20,37.89,0.3126,21.4,56.47,1.0,126.13
2026-08-19 15:32:19,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,81.41499999999999,856.7,20,42.34,0.0857,0.0,0.0,0.1143,126.05
2026-08-19 15:46:02,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,81.985,856.7,20,42.34,0.3427,6.0,14.17,1.0,131.7
2026-08-19 16:04:52,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,81.935,911.61,20,45.23,0.0912,0.0,0.0,0.1143,131.61
2026-08-19 17:09:39,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,81.42500000000001,911.61,20,45.23,0.3646,-5.67,-12.55,1.0,125.57
2026-08-19 19:26:04,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,82.255,892.76,20,43.12,0.0893,0.0,0.0,0.1201,125.48
2026-08-19 20:34:55,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,82.525,892.76,20,43.12,0.3571,2.93,6.8,1.0,128.06
2026-08-19 20:53:57,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,82.66499999999999,955.02,20,45.96,0.0955,0.0,0.0,0.126,127.96
2026-08-19 20:58:36,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,83.805,955.02,20,45.96,0.382,13.17,28.66,1.0,140.75
2026-08-19 21:14:02,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,83.805,1016.55,20,48.55,0.1017,0.0,0.0,0.1201,140.65
2026-08-19 21:24:36,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,86.38499999999999,1016.55,20,48.55,0.4066,31.3,64.46,1.0,171.54
2026-08-19 21:40:26,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,86.63499999999999,1124.13,20,55.99,0.1124,0.0,0.0,0.126,171.42
2026-08-19 22:07:36,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,86.125,1124.13,20,55.99,0.4497,-6.62,-11.82,1.0,164.36
2026-08-19 22:44:12,PAPER,ACILIS,ETHUSDT,LIMIT_BUY,2263.6549999999997,1106.04,20,54.66,0.1106,0.0,0.0,0.1611,164.25
2026-08-19 22:58:50,PAPER,KAPANIS,ETHUSDT,MARKET_SELL,2249.4849999999997,1106.04,20,54.66,0.4424,-6.92,-12.67,1.0,156.88
2026-08-19 23:15:39,PAPER,ACILIS,ETHUSDT,LIMIT_BUY,2248.9849999999997,1046.07,20,50.72,0.1046,0.0,0.0,0.1143,156.77
2026-08-20 00:11:25,PAPER,KAPANIS,ETHUSDT,MARKET_SELL,2257.045,1046.07,20,50.72,0.4184,3.75,7.39,1.0,160.11
2026-08-20 05:41:21,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,84.935,1174.17,20,56.71,0.1174,0.0,0.0,0.123,159.99
2026-08-20 06:36:20,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,85.475,1174.17,20,56.71,0.4697,7.47,13.16,1.0,166.98
2026-08-20 06:51:36,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,85.83500000000001,1164.0,20,57.08,0.1164,0.0,0.0,0.1055,166.87
2026-08-20 08:15:17,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,87.35499999999999,1164.0,20,57.08,0.4656,20.61,36.11,1.0,187.01
2026-08-20 08:30:36,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,87.195,1370.68,20,65.96,0.1371,0.0,0.0,0.1172,186.88
2026-08-20 08:33:27,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,87.57499999999999,1370.68,20,65.96,0.5483,5.97,9.06,1.0,192.3
2026-08-20 08:48:50,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,87.795,1406.51,20,68.71,0.1407,0.0,0.0,0.1084,192.16
2026-08-20 09:07:35,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,87.455,1406.51,20,68.71,0.5626,-5.45,-7.93,1.0,186.15
2026-08-20 09:22:55,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,87.785,1365.19,20,65.94,0.1365,0.0,0.0,0.1172,186.02
2026-08-20 09:34:36,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,87.435,1365.19,20,65.94,0.5461,-5.44,-8.25,1.0,180.03
2026-08-20 10:04:37,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,87.465,1133.97,19,56.81,0.1134,0.0,0.0,0.1201,179.91
2026-08-20 10:49:07,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,87.155,1133.97,19,56.81,0.4536,-4.02,-7.07,1.0,175.44
2026-08-20 11:51:22,PAPER,ACILIS,ETHUSDT,LIMIT_BUY,2310.775,1307.1,21,61.06,0.1307,0.0,0.0,0.1553,175.31
2026-08-20 12:03:40,PAPER,KAPANIS,ETHUSDT,MARKET_SELL,2295.005,1307.1,21,61.06,0.5228,-8.92,-14.61,1.0,165.87
2026-08-20 17:23:42,PAPER,ACILIS,ETHUSDT,LIMIT_BUY,2337.165,1190.67,21,56.45,0.1191,0.0,0.0,0.1348,165.75
2026-08-20 17:31:38,PAPER,KAPANIS,ETHUSDT,MARKET_SELL,2345.545,1190.67,21,56.45,0.4763,4.27,7.56,1.0,169.54
2026-08-20 23:52:01,PAPER,ACILIS,ETHUSDT,LIMIT_BUY,2326.085,1247.34,21,58.48,0.1247,0.0,0.0,0.1289,169.42
2026-08-20 23:59:56,PAPER,KAPANIS,ETHUSDT,MARKET_SELL,2323.335,1247.34,20,60.94,0.4989,-1.47,-2.52,0.3047,167.44
2026-08-21 00:15:49,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,87.845,1208.78,20,59.05,0.1209,0.0,0.0,0.1318,167.32
2026-08-21 00:30:54,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,88.42500000000001,1208.78,20,59.05,0.4835,7.98,13.51,1.0,174.82
2026-08-21 00:53:26,PAPER,ACILIS,ETHUSDT,LIMIT_BUY,2344.755,1313.03,21,61.12,0.1313,0.0,0.0,0.1436,174.69
2026-08-21 01:09:01,PAPER,KAPANIS,ETHUSDT,MARKET_SELL,2337.105,1313.03,21,61.12,0.5252,-4.28,-7.01,1.0,169.88
2026-08-21 01:27:11,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,88.475,1302.61,21,61.75,0.1303,0.0,0.0,0.1055,169.75
2026-08-21 01:49:11,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,89.285,1302.61,21,61.75,0.521,11.93,19.31,1.0,181.15
2026-08-21 02:08:03,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,88.965,1250.39,20,61.09,0.125,0.0,0.0,0.1523,181.03
2026-08-21 02:30:33,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,89.41499999999999,1250.39,20,61.09,0.5002,6.32,10.35,1.0,186.85
2026-08-21 02:45:53,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,89.82499999999999,1389.0,20,67.35,0.1389,0.0,0.0,0.1377,186.71
2026-08-21 02:51:08,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,89.405,1389.0,20,67.35,0.5556,-6.49,-9.64,1.0,179.66
2026-08-21 03:06:42,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,89.015,1285.79,19,65.31,0.1286,0.0,0.0,0.1025,179.53
2026-08-21 03:20:22,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,88.845,1285.79,19,66.36,0.5143,-2.46,-3.76,0.3125,176.56
2026-08-21 06:23:54,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,90.695,1273.09,20,61.73,0.1273,0.0,0.0,0.1436,176.44
2026-08-21 06:26:48,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,90.275,1273.09,20,61.73,0.5092,-5.9,-9.55,1.0,170.03
2026-08-21 06:42:07,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,90.305,1249.01,20,61.02,0.1249,0.0,0.0,0.1289,169.91
2026-08-21 06:49:34,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,90.35499999999999,1249.01,19,63.95,0.4996,0.69,1.13,0.3047,170.1
2026-08-21 07:05:08,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,90.17500000000001,1201.81,20,58.94,0.1202,0.0,0.0,0.1289,169.98
2026-08-21 07:06:49,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,90.535,1201.81,20,58.94,0.4807,4.8,8.14,1.0,174.3
2026-08-21 07:22:56,PAPER,ACILIS,ETHUSDT,LIMIT_BUY,2388.295,1289.09,21,60.66,0.1289,0.0,0.0,0.126,174.17
2026-08-21 07:35:39,PAPER,KAPANIS,ETHUSDT,MARKET_SELL,2376.475,1289.09,21,60.66,0.5156,-6.38,-10.52,1.0,167.27
2026-08-21 08:04:54,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,90.435,1143.04,20,55.63,0.1143,0.0,0.0,0.1348,167.16
2026-08-21 08:12:51,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,90.86500000000001,1143.04,20,55.63,0.4572,5.43,9.77,1.0,172.14
2026-08-21 08:28:13,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,90.875,1283.03,20,61.51,0.1283,0.0,0.0,0.1084,172.01
2026-08-21 08:32:42,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,91.505,1283.03,20,61.51,0.5132,8.89,14.46,1.0,180.39
2026-08-21 09:01:56,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,91.595,1340.95,20,65.02,0.1341,0.0,0.0,0.1143,180.25
2026-08-21 09:16:27,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,91.205,1340.95,20,65.02,0.5364,-5.71,-8.78,1.0,174.01
2026-08-21 09:33:41,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,91.245,1171.89,20,58.14,0.1172,0.0,0.0,0.126,173.89
2026-08-21 09:41:15,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,91.60499999999999,1171.89,20,58.14,0.4688,4.62,7.95,1.0,178.05
2026-08-21 10:18:09,PAPER,ACILIS,ETHUSDT,LIMIT_BUY,2402.315,1253.44,20,60.32,0.1253,0.0,0.0,0.126,177.92
2026-08-21 10:29:21,PAPER,KAPANIS,ETHUSDT,MARKET_SELL,2394.1949999999997,1253.44,20,60.32,0.5014,-4.24,-7.02,1.0,173.18
2026-08-21 14:15:55,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,90.91499999999999,1115.41,19,55.99,0.1115,0.0,0.0,0.1318,173.07
2026-08-21 14:34:55,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,91.36500000000001,1115.41,19,55.99,0.4462,5.52,9.86,1.0,178.15
2026-08-21 15:07:54,PAPER,ACILIS,ETHUSDT,LIMIT_BUY,2392.455,1156.31,20,56.49,0.1156,0.0,0.0,0.1055,178.03
2026-08-21 15:14:22,PAPER,KAPANIS,ETHUSDT,MARKET_SELL,2400.9849999999997,1156.31,19,58.04,0.4625,4.12,7.3,0.3594,181.69
2026-08-21 15:43:59,PAPER,ACILIS,ETHUSDT,LIMIT_BUY,2401.995,1310.19,21,62.11,0.131,0.0,0.0,0.1113,181.56
2026-08-21 16:09:30,PAPER,KAPANIS,ETHUSDT,MARKET_SELL,2389.535,1310.19,21,62.11,0.5241,-6.8,-10.94,1.0,174.24
